Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],Status,Error,AUC_ROC,Accuracy,Precision,Recall,F1_macro,MCC,Seed,Protocol hash,Attempts
balance-scale,CBM,3,562,63,0,153.31602716445923,0.003367185592651367,OK,,0.9854631507775524,0.9523809523809523,0.8773946360153256,0.9103448275862069,0.8917487030009715,0.9177707830099481,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,562,63,1,166.58531284332275,0.003064870834350586,OK,,0.9993238674780257,0.9682539682539683,0.9773946360153257,0.9218390804597701,0.9458189925752755,0.9441805553803166,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,562,63,2,50.709367990493774,0.0035102367401123047,OK,,0.9996619337390129,0.9523809523809523,0.8936507936507937,0.9655172413793104,0.920612908748502,0.9211186265492375,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,2
balance-scale,CBM,3,562,63,3,173.80257296562195,0.0034220218658447266,OK,,0.994050033806626,0.9523809523809523,0.8944444444444445,0.8551724137931035,0.871939736346516,0.9160160785863015,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,2
balance-scale,CBM,3,562,63,4,207.89838886260986,0.0028934478759765625,OK,,0.9986477349560513,0.9682539682539683,0.9329501915708813,0.9770114942528737,0.9523547636070323,0.9453432958042384,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,563,62,5,187.11506819725037,0.0029556751251220703,OK,,0.9989550679205852,0.9354838709677419,0.8452380952380952,0.9540229885057471,0.8796422875370244,0.8915678643610083,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,563,62,6,199.05450701713562,0.003148794174194336,OK,,0.9931052853413268,0.9516129032258065,0.8936507936507937,0.8547619047619047,0.8713344094700027,0.9147680037512704,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,563,62,7,197.59977388381958,0.002948760986328125,OK,,1.0,1.0,1.0,1.0,1.0,1.0,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,563,62,8,186.06909132003784,0.0029392242431640625,OK,,0.996857886310219,0.9838709677419355,0.9888888888888889,0.9880952380952381,0.9882896764252697,0.972171937508383,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM,3,563,62,9,177.59107112884521,0.0029222965240478516,OK,,0.9976608187134502,0.9838709677419355,0.9444444444444445,0.9880952380952381,0.9636363636363637,0.972520851765122,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,562,63,0,114.74293398857117,0.0031456947326660156,OK,,0.9977011494252874,0.9841269841269841,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,562,63,1,127.16809153556824,0.0032663345336914062,OK,,0.9983096686950642,0.9682539682539683,0.978494623655914,0.9218390804597701,0.9460038986354776,0.9450354044059255,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,562,63,2,127.71266198158264,0.003640413284301758,OK,,0.9954699121027722,0.9682539682539683,0.9333333333333332,0.9770114942528735,0.9521424902780836,0.9461635504451551,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,562,63,3,117.45320105552673,0.0034575462341308594,OK,,0.9901284651791751,0.9047619047619048,0.7880184331797234,0.8206896551724139,0.7975308641975309,0.8408342544109757,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,562,63,4,135.1340048313141,0.003421783447265625,OK,,0.9983096686950642,0.9682539682539683,0.9329501915708813,0.9770114942528737,0.9523547636070323,0.9453432958042384,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,563,62,5,133.41399669647217,0.0033698081970214844,OK,,1.0,0.967741935483871,0.8888888888888888,0.9770114942528737,0.9216374269005847,0.9450415061127537,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,563,62,6,129.36398077011108,0.0032927989959716797,OK,,0.9969605386014054,0.967741935483871,0.9214285714285714,0.9214285714285714,0.9214285714285714,0.9434822242479489,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,563,62,7,130.8695559501648,0.003265380859375,OK,,1.0,1.0,1.0,1.0,1.0,1.0,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,563,62,8,132.92148756980896,0.0031952857971191406,OK,,1.0,1.0,1.0,1.0,1.0,1.0,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CBM_KE,3,563,62,9,120.38102650642395,0.002995729446411133,OK,,0.9899448241046405,0.9354838709677419,0.8432676518883415,0.8432676518883415,0.8432676518883415,0.886964448495898,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,562,63,0,0.11311078071594238,0.0005724430084228516,OK,,0.9203515889114265,0.873015873015873,0.6116071428571429,0.632183908045977,0.6210334579618445,0.7750481368585127,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,562,63,1,0.10878729820251465,0.00055694580078125,OK,,0.9655848546315077,0.9523809523809523,0.9670003707823508,0.8551724137931034,0.8940613026819925,0.9165433423061032,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,562,63,2,0.10932326316833496,0.0007884502410888672,OK,,0.9547667342799189,0.8888888888888888,0.7225312075145224,0.6988505747126438,0.7047892720306513,0.802484615263566,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,562,63,3,0.05550694465637207,0.0006089210510253906,OK,,0.9494929006085192,0.8888888888888888,0.7046850998463903,0.6988505747126436,0.7003898635477582,0.804085521646519,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,562,63,4,0.11997199058532715,0.0006988048553466797,OK,,0.9523326572008114,0.8888888888888888,0.7770114942528735,0.7540229885057471,0.7635777214970668,0.803358171410241,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,563,62,5,0.10763430595397949,0.0006721019744873047,OK,,0.981495994427029,0.8870967741935484,0.7210727969348659,0.7040229885057472,0.7104728507416994,0.7958145682269717,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,563,62,6,0.10795187950134277,0.0005662441253662109,OK,,0.9366368006807848,0.8870967741935484,0.6114200964034112,0.6436781609195402,0.6267290083771674,0.7996928373062674,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,563,62,7,0.10725188255310059,0.0005469322204589844,OK,,0.976857504262223,0.9193548387096774,0.7895810159436412,0.7218390804597701,0.7338345864661653,0.857388003569641,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,563,62,8,0.10734963417053223,0.0005793571472167969,OK,,0.9552219336835543,0.9193548387096774,0.8313628899835797,0.8313628899835797,0.8313628899835797,0.8587055606198724,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,CatBoost,3,563,62,9,0.10715484619140625,0.0005822181701660156,OK,,0.9527819294687022,0.8548387096774194,0.7129629629629629,0.7302134646962234,0.7153346653346654,0.7562825881839184,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,DT_depth3,3,562,63,0,0.0018429756164550781,0.00019860267639160156,OK,,0.7183231913455037,0.4603174603174603,0.48611111111111116,0.3333333333333333,0.39161425576519915,0.22726836307372184,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,DT_depth3,3,562,63,1,0.0018761157989501953,0.0001983642578125,OK,,0.7640973630831643,0.4603174603174603,0.664488017429194,0.5540229885057472,0.4533721256945011,0.3801188374872797,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,DT_depth3,3,562,63,2,0.0018157958984375,0.00021386146545410156,OK,,0.7662609871534821,0.5396825396825397,0.5723684210526315,0.5563218390804597,0.4952693721166628,0.36516442510705516,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,DT_depth3,3,562,63,3,0.0014216899871826172,0.0001659393310546875,OK,,0.6547667342799188,0.5079365079365079,0.4791666666666667,0.367816091954023,0.40412871888281726,0.23254429658511017,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,DT_depth3,3,562,63,4,0.001562356948852539,0.00020766258239746094,OK,,0.6918187964841108,0.4126984126984127,0.5492530345471521,0.464367816091954,0.38605682605682606,0.27441215114317474,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
balance-scale,DT_depth3,3,563,62,5,0.0018401145935058594,0.00021195411682128906,OK,,0.6999956461163358,0.5,0.4726247987117553,0.4281609195402299,0.4220979020979021,0.24537309639635918,42,9e2fd6f6c51d2e9150021e0e2ef5e8c539775437f6c81a0950760b7b4987819e,1
