Dataset,Algorithm,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_count,Accuracy_mean,Accuracy_std,Accuracy_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_macro_mean,F1_macro_std,F1_macro_count,MCC_mean,MCC_std,MCC_count
balance-scale,CBM,0.9916861208176464,0.011317204955324936,30,0.962689878818911,0.026420673083811654,30,0.9137533947511083,0.0599907328482564,30,0.9399671592775041,0.05600831762673967,30,0.92189805632225,0.0547906455505191,30,0.9363671645182762,0.04470656924908681,30
balance-scale,CBM_KE,0.9931844252485866,0.013460355300957712,30,0.9626813449394095,0.028040167309821482,30,0.9037852623071903,0.11080933709805539,30,0.9065353037766831,0.10138043727465328,30,0.9004045322098708,0.10302969632044132,30,0.9355942892413822,0.048547973078238174,30
balance-scale,CatBoost,0.951960673653318,0.022374399179999244,30,0.8938556067588325,0.034519686445885135,30,0.729177647088443,0.11673312472697282,30,0.7060262725779968,0.07622532792876997,30,0.7085166695146933,0.08651040188871423,30,0.8128551637242207,0.06004297215675123,30
balance-scale,DT_depth3,0.733340493908979,0.05617510217630843,30,0.4848182283666154,0.07296354375369654,30,0.5590895326324905,0.06560119152688733,30,0.4699480021893815,0.08819782602491995,30,0.435303721775644,0.057482580276329596,30,0.30854605186490286,0.07951389881751207,30
balance-scale,DT_depth5,0.8038258829994445,0.04830202020062204,30,0.621394435910565,0.06089368488458721,30,0.6431109745118555,0.045075109561922344,30,0.5985878489326766,0.07838297427301269,30,0.5558593148256059,0.05175131301998154,30,0.48706375342675534,0.07266524373489082,30
balance-scale,EBM,0.9993111652807927,0.0012706992946140733,30,0.9840160436934631,0.017318478412562982,30,0.9520502645502645,0.04854812092741752,30,0.9884510125889435,0.012525215994236734,30,0.9660326472314776,0.0358610324962949,30,0.9733315947816816,0.02858320097422674,30
balance-scale,FIGS,0.8331443658601501,0.04869922158974101,30,0.8619901006997781,0.036965844362590275,30,0.5822086649159395,0.022472588587356786,30,0.6234948002189381,0.025471434540887385,30,0.6013095032753332,0.023468386156521897,30,0.7545734294066879,0.0675112436768762,30
balance-scale,KNN_k5,0.7819175069155052,0.025722723246882472,30,0.8149940262843489,0.03763092422380283,30,0.5867217766098004,0.028155518030622547,30,0.5933333333333334,0.032710093522562426,30,0.5890967977202172,0.029355231302662963,30,0.6752444246620343,0.06377796445946982,30
balance-scale,LightGBM,0.9392565144446751,0.023282750476881605,30,0.8655572623314558,0.03426952819315149,30,0.6597133933730616,0.06864618295577549,30,0.661688560481664,0.054667799162240446,30,0.658763454866116,0.059666313581585535,30,0.763241080790888,0.059119545075250496,30
balance-scale,LogReg,0.9677878753473927,0.018691356134497454,30,0.9147294760197986,0.03757890245762752,30,0.8355198497721671,0.048810419536592466,30,0.9163546798029557,0.04895577300767372,30,0.8549534181925494,0.05243774847282049,30,0.8629404575340643,0.05787497452420062,30
