Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,bp_source,wall_s
42,balance-scale,CBM_KE,0,OK,0.9365079365079365,0.9922244759972955,0.8666666666666666,0.8988505747126437,0.8802369946437744,0.8909706766691877,v26 main_pc0,4.6
42,balance-scale,CBM_KE,1,OK,0.9682539682539683,0.9985125084516566,0.9218390804597701,0.9218390804597701,0.9218390804597701,0.9442970822281167,v26 main_pc0,10.8
42,balance-scale,CBM_KE,2,OK,0.9682539682539683,0.987762001352265,0.9047619047619048,0.9770114942528735,0.9325396825396827,0.9472669881727528,v26 main_pc0,16.7
42,balance-scale,CBM_KE,3,OK,0.9682539682539683,1.0,0.978494623655914,0.8666666666666667,0.9055555555555556,0.9450580240667376,v26 main_pc0,8.3
42,balance-scale,CBM_KE,4,OK,0.9523809523809523,0.9983096686950642,0.96875,0.8551724137931035,0.8944252708273416,0.9178201620692914,v26 main_pc0,5.3
42,balance-scale,CBM_KE,5,OK,0.9354838709677419,0.9914663880181123,0.8333333333333334,0.9540229885057471,0.8650793650793651,0.8950545762503648,v26 main_pc0,8.4
42,balance-scale,CBM_KE,6,OK,0.967741935483871,0.9976608187134502,0.9777777777777779,0.8666666666666667,0.9051724137931035,0.9442866675107502,v26 main_pc0,12.7
42,balance-scale,CBM_KE,7,OK,0.9193548387096774,0.9774350090913558,0.6129032258064516,0.6666666666666666,0.6386064030131827,0.860481517060815,v26 main_pc0,4.1
42,balance-scale,CBM_KE,8,OK,0.9838709677419355,0.9942712172588334,0.9444444444444445,0.9880952380952381,0.9636363636363637,0.972520851765122,v26 main_pc0,5.6
42,balance-scale,CBM_KE,9,OK,0.967741935483871,0.9984820986635868,0.9777777777777779,0.9218390804597701,0.9456207568730255,0.9442766490335694,v26 main_pc0,7.2
42,balance-scale,CBM,0,OK,0.9365079365079365,0.9929006085192698,0.8654898741105638,0.8988505747126437,0.8800527965682231,0.8901982702156578,v26 main_pc0,11.5
42,balance-scale,CBM,1,OK,0.9841269841269841,0.9988505747126437,0.9888888888888889,0.9333333333333332,0.9573132454488387,0.9723450321743318,v25(p_c=0),11.7
42,balance-scale,CBM,2,OK,0.9841269841269841,0.9972954699121028,0.9888888888888889,0.9885057471264368,0.9885023292695014,0.972578600211013,v26 main_pc0,9.3
42,balance-scale,CBM,3,OK,0.9841269841269841,1.0,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,v25(p_c=0),12.5
42,balance-scale,CBM,4,OK,0.9523809523809523,0.9966869506423258,0.8936507936507937,0.9655172413793104,0.920612908748502,0.9211186265492375,v25(p_c=0),10.9
42,balance-scale,CBM,5,OK,0.9516129032258065,0.9985632183908045,0.8571428571428571,0.9655172413793104,0.8913381939697729,0.919584695374887,v25(p_c=0),12.1
42,balance-scale,CBM,6,OK,0.9516129032258065,0.9287759705983257,0.9659003831417624,0.8547619047619047,0.8934730895034195,0.9148943453500895,v26 main_pc0,10.7
42,balance-scale,CBM,7,OK,1.0,1.0,1.0,1.0,1.0,1.0,v25(p_c=0),11.6
42,balance-scale,CBM,8,OK,0.967741935483871,0.9988304093567252,0.978494623655914,0.9214285714285714,0.9457912457912458,0.9442155540638497,v26 main_pc0,7.7
42,balance-scale,CBM,9,OK,0.9838709677419355,1.0,0.9444444444444445,0.9880952380952381,0.9636363636363637,0.972520851765122,v25(p_c=0),15.5
42,bank,CBM_KE,0,OK,0.898,0.9295454545454545,0.7600143514414757,0.7333333333333334,0.7455876924304856,0.4926256807611407,v25(p_c=0),228.7
42,bank,CBM_KE,1,OK,0.902,0.9167803030303031,0.7789041380744437,0.7032196969696969,0.7325210707891174,0.4761462566190476,v26 main_pc0,80.0
42,bank,CBM_KE,2,OK,0.894,0.891751893939394,0.7493356585284836,0.7274621212121212,0.7376341531028474,0.47629578113903137,v25(p_c=0),51.0
42,bank,CBM_KE,3,OK,0.896,0.9083617424242425,0.7552513210183851,0.7214015151515152,0.7365194215587916,0.47544938413209137,v25(p_c=0),416.2
42,bank,CBM_KE,4,OK,0.895,0.8978647787211238,0.7536196911196911,0.7371590556511438,0.7449667363757587,0.49050262564223124,v25(p_c=0),35.0
42,bank,CBM_KE,5,OK,0.904,0.9234009345706522,0.7789070363996493,0.7422785095760585,0.7586872586872586,0.5198968401103531,v25(p_c=0),388.1
42,bank,CBM_KE,6,OK,0.902,0.9207025263494392,0.8322280395578825,0.6342387574159215,0.6781017198565253,0.42236419928293056,v25(p_c=0),42.1
42,bank,CBM_KE,7,OK,0.904,0.9214640980076909,0.782087816225647,0.7280248968117413,0.7508719481813653,0.5072397665274386,v25(p_c=0),384.0
42,bank,CBM_KE,8,OK,0.909,0.8908225914121043,0.7998168498168499,0.7308690378811384,0.758926986666808,0.5261879042994808,v25(p_c=0),51.8
42,bank,CBM_KE,9,OK,0.894,0.8925055707556482,0.7856893542757417,0.6154345189405692,0.6518243092325682,0.36319919150384733,v26 main_pc0,298.5
42,bank,CBM,0,OK,0.891,0.8911837121212121,0.7436894638563118,0.671780303030303,0.698561113277415,0.4091994621038954,v26 main_pc0,203.5
42,bank,CBM,1,OK,0.891,0.8583901515151514,0.7429950308296693,0.7653409090909091,0.7533886436601651,0.5078445525351943,v26 main_pc0,356.6
42,bank,CBM,2,OK,0.888,0.878626893939394,0.7355526497402928,0.7456439393939394,0.7404306996319678,0.4810907640638565,v25(p_c=0),301.6
42,bank,CBM,3,OK,0.896,0.8675852272727272,0.7576312576312576,0.6998106060606061,0.7233306730513434,0.45377288472299765,v26 main_pc0,232.2
42,bank,CBM,4,OK,0.904,0.8515217329986179,0.7782388933226922,0.7458419127671376,0.7605531222875158,0.523078509368,v26 main_pc0,315.0
42,bank,CBM,5,OK,0.896,0.8530636805535968,0.7562297955998744,0.7377278838650232,0.7464503042596349,0.49361104967828895,v26 main_pc0,283.8
42,bank,CBM,6,OK,0.894,0.8837992083415602,0.7516360734237829,0.7223366146729473,0.7356107391924654,0.47306622240289825,v26 main_pc0,234.5
42,bank,CBM,7,OK,0.898,0.8947056666572645,0.7640853512347159,0.7174851211463064,0.737435517252031,0.4793104822815669,v26 main_pc0,297.7
42,bank,CBM,8,OK,0.901,0.8784870109722732,0.769535791396778,0.7441354281254995,0.7558924842008191,0.513042827950251,v25(p_c=0),349.9
42,bank,CBM,9,OK,0.896,0.8729679669797572,0.7579681386562629,0.7163474647185476,0.7344228804902961,0.4724859903804354,v26 main_pc0,243.6
42,blood,CBM_KE,0,OK,0.8133333333333334,0.8001949317738791,0.753968253968254,0.6871345029239766,0.7083333333333333,0.4360101969670868,v25(p_c=0),11.9
42,blood,CBM_KE,1,OK,0.72,0.6413255360623782,0.5724431818181819,0.5497076023391813,0.5511541749786264,0.12001628012904232,v26 main_pc0,13.9
42,blood,CBM_KE,2,OK,0.7333333333333333,0.5921052631578947,0.6159250585480094,0.5964912280701754,0.6027542372881356,0.2115254241305703,v26 main_pc0,13.9
42,blood,CBM_KE,3,OK,0.7866666666666666,0.8089668615984406,0.7693661971830985,0.5745614035087719,0.5738636363636364,0.28343832993998846,v25(p_c=0),9.8
42,blood,CBM_KE,4,OK,0.8,0.7782651072124757,0.7322443181818181,0.6593567251461988,0.6793958392704474,0.38475807453134153,v25(p_c=0),9.1
42,blood,CBM_KE,5,OK,0.76,0.7236842105263158,0.65,0.5950292397660819,0.6048009367681498,0.23878346647045964,v26 main_pc0,14.7
42,blood,CBM_KE,6,OK,0.8266666666666667,0.7680311890838206,0.7855113636363636,0.695906432748538,0.7221430607010544,0.473005339332108,v25(p_c=0),9.3
42,blood,CBM_KE,7,OK,0.84,0.7378167641325537,0.823076923076923,0.7046783625730995,0.7365339578454333,0.5143028508594515,v26 main_pc0,20.7
42,blood,CBM_KE,8,OK,0.7702702702702703,0.7719298245614036,0.65625,0.6031991744066048,0.6149372513008877,0.25396748611609316,v26 main_pc0,5.8
42,blood,CBM_KE,9,OK,0.7702702702702703,0.4840041279669763,0.38513513513513514,0.5,0.4351145038167939,0.0,v25(p_c=0),10.2
42,blood,CBM,0,OK,0.8133333333333334,0.7914230019493177,0.753968253968254,0.6871345029239766,0.7083333333333333,0.4360101969670868,v25(p_c=0),9.6
42,blood,CBM,1,OK,0.8,0.6851851851851852,0.7615546218487395,0.6213450292397661,0.64,0.35630522441317786,v25(p_c=0),12.6
42,blood,CBM,2,OK,0.7466666666666667,0.5823586744639375,0.6039915966386554,0.5482456140350878,0.544,0.14166352295945625,v25(p_c=0),15.3
42,blood,CBM,3,OK,0.8,0.7115009746588694,0.7615546218487395,0.6213450292397661,0.64,0.35630522441317786,v26 main_pc0,7.8
42,blood,CBM,4,OK,0.7866666666666666,0.682748538011696,0.7037470725995316,0.6695906432748537,0.6822033898305084,0.3717719575628205,v25(p_c=0),11.7
42,blood,CBM,5,OK,0.7333333333333333,0.6798245614035088,0.6431818181818182,0.6535087719298245,0.6475563909774436,0.29651080973057514,v25(p_c=0),6.5
42,blood,CBM,6,OK,0.38666666666666666,0.23099415204678364,0.36119081779053086,0.3114035087719298,0.3229984301412873,-0.323598051384391,v25(p_c=0),4.4
42,blood,CBM,7,OK,0.8266666666666667,0.7426900584795322,0.7735732009925558,0.7149122807017544,0.7357007319056655,0.4849504740246766,v25(p_c=0),13.5
42,blood,CBM,8,OK,0.7702702702702703,0.7678018575851393,0.6515151515151515,0.5825593395252838,0.5908943089430895,0.2236871997872405,v25(p_c=0),10.0
42,blood,CBM,9,OK,0.8378378378378378,0.8720330237358102,0.7922077922077921,0.7089783281733746,0.7357142857142858,0.4942270567049815,v26 main_pc0,7.8
42,car,CBM_KE,0,OK,1.0,1.0,1.0,1.0,1.0,1.0,v25(p_c=0),42.9
42,car,CBM_KE,1,OK,1.0,1.0,1.0,1.0,1.0,1.0,v25(p_c=0),53.2
42,car,CBM_KE,2,OK,1.0,1.0,1.0,1.0,1.0,1.0,v25(p_c=0),31.1
42,car,CBM_KE,3,OK,0.9884393063583815,1.0,0.9959349593495935,0.9871794871794872,0.9913718723037102,0.974768236011377,v26 main_pc0,15.0
42,car,CBM_KE,4,OK,1.0,1.0,1.0,1.0,1.0,1.0,v25(p_c=0),47.4
