Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,n_train,n_test,wall_s
MiniBooNE,CBM_KE,0,OK,0.9482181985930112,0.9870920223213077,0.9320390381255794,0.9414511485312752,0.9365735101654035,0.8734394760734928,104051,26013,17168.9
MiniBooNE,CBM_KE,1,OK,0.9507938338523046,0.9873717304430515,0.936650728461567,0.9424058727029557,0.9394657350212208,0.8790377616267026,104051,26013,15821.6
MiniBooNE,CBM_KE,2,OK,0.9512935839772422,0.9880478299094689,0.9367335074016645,0.9437975687548543,0.9401709631955879,0.8805027399812879,104051,26013,18492.9
MiniBooNE,CBM_KE,3,OK,0.949986545188944,0.9867336786601361,0.934724863907654,0.9428055618795519,0.9386403060455275,0.8774932196333838,104051,26013,15805.2
MiniBooNE,CBM_KE,4,OK,0.9519452560356758,0.9847106208477728,0.9366470784244526,0.9459181037098576,0.9411186739897133,0.8825164864215996,104052,26012,21811.3
MiniBooNE,CBM,0,OK,0.9501403144581555,0.9780869976113594,0.9386826335794691,0.9376907197326011,0.9381848622262531,0.8763727919683285,104051,26013,20108.4
MiniBooNE,CBM,1,OK,0.9469111598047131,0.9778557687169349,0.9338433431871822,0.9348196843597851,0.9343297199648257,0.8686624788633258,104051,26013,20374.5
MiniBooNE,CBM,2,OK,0.9493714681120978,0.9823050637275822,0.9318701573438203,0.945427535908302,0.9382882652613789,0.8771929320690824,104051,26013,20779.1
MiniBooNE,CBM,3,OK,0.9465651789489871,0.9779763939653703,0.933280139195807,0.9345792098233665,0.9339264904665967,0.8678583767501978,104051,26013,21517.0
MiniBooNE,CBM,4,OK,0.9510994925419037,0.9808587562371882,0.937135784259399,0.9426143728574837,0.9398185239313449,0.8797330981690713,104052,26012,20903.7
MiniBooNE,TabPFN,0,OK,0.9565217391304348,0.9899272427270178,0.9451747444954737,0.9474314061940676,0.9462937949649226,0.892603298070749,104051,26013,179.5
MiniBooNE,TabPFN,1,OK,0.9548302771691077,0.9897001278870671,0.9419865437303783,0.946840585513404,0.9443699055206378,0.8888138747556271,104051,26013,126.3
MiniBooNE,TabPFN,2,OK,0.9557913351016799,0.9901982835169163,0.9426996198822655,0.948678235553776,0.9456226444649973,0.8913578054386513,104051,26013,179.4
MiniBooNE,TabPFN,3,OK,0.9551762580248337,0.9889947212728094,0.9421856083496803,0.9475823451428169,0.944829965132123,0.8897515868455714,104051,26013,126.3
MiniBooNE,TabPFN,4,OK,0.9559818545286791,0.9904623042152865,0.9430328257024092,0.9487654231097322,0.9458383011314,0.8917798236736284,104052,26012,175.4
adult,CBM_KE,0,OK,0.8246545052515202,0.8811191158646886,0.76573535080772,0.7554462184980835,0.760287471156701,0.5210799957207866,36177,9045,5345.5
adult,CBM_KE,1,OK,0.8183526810392482,0.88435226207465,0.7614012050909509,0.7228484363630832,0.7379574930669344,0.4827125431059112,36177,9045,4981.6
adult,CBM_KE,2,OK,0.8166740380362671,0.8827280310422935,0.7546176683949075,0.7437853066765896,0.7488448332786635,0.4982852451154087,36178,9044,5368.2
adult,CBM_KE,3,OK,0.8153471915081822,0.8798143559915915,0.7523578212880555,0.7574162591863853,0.7548052774526404,0.5097489826665577,36178,9044,5113.9
adult,CBM_KE,4,OK,0.804953560371517,0.8659690333508983,0.741491008037704,0.7656770939753512,0.7514529927312973,0.5065910746810899,36178,9044,5006.3
adult,CBM,0,OK,0.808955223880597,0.8652935952195095,0.7489909973578606,0.7852300363892039,0.7623066228991872,0.5329904735995445,36177,9045,6374.2
adult,CBM,1,OK,0.8122719734660033,0.8718721000324803,0.7532470306758952,0.7914719368049175,0.7671123994309677,0.5433761221150503,36177,9045,5041.4
adult,CBM,2,OK,0.8201017249004865,0.8837651879833838,0.7591049664232326,0.7776330467639582,0.7672716586751542,0.5364181251962135,36178,9044,5500.9
adult,CBM,3,OK,0.7954444935869085,0.8675012985779497,0.7404285576073872,0.7916156106943658,0.7548567991202425,0.5295761348665317,36178,9044,5990.8
adult,CBM,4,OK,0.8061698363555949,0.8485336211918572,0.7434766656297608,0.7702233640155687,0.754250128349529,0.5130032500706706,36178,9044,4397.0
adult,TabPFN,0,OK,0.8538419016030956,0.9141536182743537,0.8155999000261296,0.7732047230042158,0.7905182461169067,0.5872763685584393,36177,9045,55.5
adult,TabPFN,1,OK,0.8594803758982863,0.918503544967502,0.8237445874367508,0.7817376510310624,0.7990541933572421,0.6040233094788663,36177,9045,52.8
adult,TabPFN,2,OK,0.864108801415303,0.9223715709851346,0.8302725528234258,0.7887811064271131,0.8060241353888178,0.6176616330220165,36178,9044,56.7
adult,TabPFN,3,OK,0.8579168509509066,0.9120731377992084,0.8202659101571821,0.7813736859011002,0.7976045510440646,0.6003812109298456,36178,9044,52.6
adult,TabPFN,4,OK,0.8558160106147722,0.9133467068115821,0.8174032198194314,0.7781111238469244,0.7944350981893644,0.5942166816124046,36178,9044,48.9
bank_full,CBM_KE,0,OK,0.9104279553245604,0.9379759781158671,0.7889735535338972,0.7516732105211449,0.7684601448863055,0.5393585151773534,36168,9043,6302.0
bank_full,CBM_KE,1,OK,0.9082061490820615,0.9291969510002493,0.7871746891001539,0.7276322859382155,0.7524797016376552,0.5113520546295452,36169,9042,5023.9
bank_full,CBM_KE,2,OK,0.9038929440389294,0.9112429135208036,0.7715215444123915,0.7315771666205757,0.7492306253202037,0.501510478181521,36169,9042,4118.8
bank_full,CBM_KE,3,OK,0.904888299048883,0.9106454875724985,0.7921516293350079,0.6784354389307916,0.7163178212844447,0.4566407963147318,36169,9042,6432.2
bank_full,CBM_KE,4,OK,0.9058836540588365,0.9264109504453142,0.776705480922134,0.7388538892529861,0.7557522744129979,0.5141679892637022,36169,9042,7001.3
bank_full,CBM,0,OK,0.9050093995355524,0.8984511957083994,0.7697725156565843,0.7748431901497728,0.772272270643585,0.5445920998978416,36168,9043,6265.2
bank_full,CBM,1,OK,0.8913957089139571,0.8381077576273868,0.7399755860490258,0.7800877828520718,0.7575715115720314,0.5185141457476286,36169,9042,6710.6
bank_full,CBM,2,OK,0.8868613138686131,0.8828370943209671,0.7342003833230574,0.7981862827734865,0.7599103842099462,0.528527546026612,36169,9042,7290.8
bank_full,CBM,3,OK,0.8911745189117452,0.8406574491137283,0.7387953437118813,0.7686514333013854,0.7523350958266676,0.5065677105931402,36169,9042,7434.5
bank_full,CBM,4,OK,0.893718203937182,0.8594843278238897,0.7442541138770317,0.7746014240200628,0.7580328076467693,0.517967286586292,36169,9042,6396.5
bank_full,TabPFN,0,OK,0.9155147627999558,0.9481899544632953,0.8020120567949889,0.7676727275740312,0.7833528379536079,0.5686488934397318,36168,9043,42.2
bank_full,TabPFN,1,OK,0.9136253041362531,0.9453625500509768,0.7970720657661228,0.7614820006054399,0.7776421300062978,0.5574190455322336,36169,9042,30.8
bank_full,TabPFN,2,OK,0.9120769741207697,0.9424196928829305,0.7914495435343105,0.7644989885252547,0.7770239492381678,0.5552949107311259,36169,9042,27.5
bank_full,TabPFN,3,OK,0.9162795841627959,0.9471227426497609,0.8055818020404731,0.7648289253364953,0.7831217648088964,0.5689530744684245,36169,9042,20.1
bank_full,TabPFN,4,OK,0.9134041141340411,0.9405095635505415,0.7967614090264367,0.7607408815741123,0.7770727116452384,0.5563374206602638,36169,9042,17.4
electricity,CBM_KE,0,OK,0.8598698002868808,0.9369251599117372,0.8560411853163998,0.8584127327415918,0.8571034448989873,0.7144499820079958,36249,9063,10358.1
electricity,CBM_KE,1,OK,0.8610835264261282,0.9383753037276528,0.8584049756085839,0.8567425545613465,0.857526591748047,0.7151455979480075,36249,9063,10837.2
electricity,CBM_KE,2,OK,0.8515780180975502,0.931949762998449,0.8491899883391638,0.846054065612756,0.8474596416445032,0.695236981571143,36250,9062,10554.0
electricity,CBM_KE,3,OK,0.8576473184727433,0.9361775097877316,0.8552438170334566,0.8525887986330447,0.8538002202730441,0.7078276362777697,36250,9062,10654.1
electricity,CBM_KE,4,OK,0.8572059148090929,0.9357183107156503,0.8541544560166996,0.8532622075300673,0.8536939646677421,0.7074161008602204,36250,9062,10288.9
electricity,CBM,0,OK,0.8485049100739269,0.9259542878670395,0.8447524672063061,0.8456422432093573,0.8451807873864292,0.6903941370467975,36249,9063,8408.6
electricity,CBM,1,OK,0.8568906543087278,0.924589232642924,0.8538617840881937,0.8528948559149901,0.8533614663355619,0.7067559785657974,36249,9063,7777.2
electricity,CBM,2,OK,0.8426395939086294,0.9179111563816459,0.83904518435393,0.8387653239777182,0.8389036904165238,0.6778104505560364,36250,9062,8179.0
electricity,CBM,3,OK,0.8494813506952108,0.9245940543128451,0.8456880351530119,0.8468235511677364,0.8462285426519531,0.6925106553634099,36250,9062,10271.7
electricity,CBM,4,OK,0.8536746854998897,0.9258365709879397,0.8517216801013965,0.8476711691021456,0.849438720560439,0.699381119903657,36250,9062,9313.3
electricity,TabPFN,0,OK,0.9420721615359152,0.9875777632489042,0.9411483689907432,0.9401956514372622,0.9406602213308923,0.8813435054923044,36249,9063,44.8
electricity,TabPFN,1,OK,0.9436169038949576,0.987258587594158,0.9421882481184083,0.9424575628434688,0.9423219138761701,0.8846457699678308,36249,9063,43.7
electricity,TabPFN,2,OK,0.935665416022953,0.9848927119063526,0.9343321683052493,0.9339434969560771,0.9341357775054102,0.8682755782696997,36250,9062,45.3
electricity,TabPFN,3,OK,0.9439417347163982,0.9874399520887763,0.9434110552261943,0.9417138929339668,0.9425265325771907,0.8851233210664385,36250,9062,35.6
electricity,TabPFN,4,OK,0.9358861178547782,0.9864116950838407,0.9344288800194955,0.9343398162854795,0.9343842387836432,0.8687686917396926,36250,9062,36.1
magic_full,CBM_KE,0,OK,0.886435331230284,0.938251183384323,0.8839964205616004,0.8636248290448126,0.8722397476340693,0.7473436499510301,15216,3804,3115.7
magic_full,CBM_KE,1,OK,0.8874868559411146,0.9412558411268082,0.885049051517128,0.8649494190934395,0.8734725661075906,0.7497290915354845,15216,3804,3427.0
magic_full,CBM_KE,2,OK,0.888801261829653,0.9439176992448571,0.886351916392995,0.8667137645976309,0.8750733581800727,0.7528095794289135,15216,3804,2936.1
magic_full,CBM_KE,3,OK,0.8824921135646687,0.9346166155681392,0.8866219293913205,0.8527880520368492,0.8657599054281175,0.7386354915509873,15216,3804,3143.3
magic_full,CBM_KE,4,OK,0.8851209253417456,0.9380474301017,0.8822613784646419,0.8625076829636418,0.8708880691764593,0.7445070492445458,15216,3804,2535.0
magic_full,CBM,0,OK,0.8772344900105152,0.9232610927974014,0.8738906389713968,0.8529339715053971,0.8616973993582301,0.7265224239371162,15216,3804,2224.0
magic_full,CBM,1,OK,0.8793375394321766,0.9267622065262966,0.8773279247622985,0.8542127814905442,0.8637404716870478,0.731175420167031,15216,3804,2664.1
magic_full,CBM,2,OK,0.8801261829652997,0.9359531784738817,0.874075628345885,0.8598518324550206,0.86612989711917,0.7337896165442245,15216,3804,2073.1
