Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,Train time [s],wall_s,Train size,Test size,Number of classes,n_trials,num_concepts,rule_budget,concept_dropout_p,lambda_concept,kd_alpha_hard,kd_temperature
42,balance-scale,CBM_KE,0,OK,0.9523809523809523,0.9924273157538878,0.8773946360153256,0.9103448275862069,0.8917487030009715,0.9177707830099481,141.20999765396118,141.2,562,63,3,40,3,3,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
42,balance-scale,CBM_KE,1,OK,0.9682539682539683,0.9950980392156863,0.9047619047619048,0.9770114942528737,0.9327485380116959,0.9468641529479986,148.71747756004333,148.7,562,63,3,40,4,11,0.0,0.7133753808306716,0.6342166859474252,4.0205490226944764
42,balance-scale,CBM_KE,2,OK,0.9682539682539683,0.9851250845165653,0.9047619047619048,0.9770114942528735,0.9325396825396827,0.9472669881727528,171.75197792053223,171.8,562,63,3,40,4,11,0.0,0.7133753808306716,0.6342166859474252,4.0205490226944764
42,balance-scale,CBM_KE,3,OK,1.0,1.0,1.0,1.0,1.0,1.0,150.0857446193695,150.1,562,63,3,40,4,5,0.0,0.7780137305987379,0.38077107180927083,2.9684651723181528
42,balance-scale,CBM_KE,4,OK,0.9523809523809523,0.9983096686950642,0.96875,0.8551724137931035,0.8944252708273416,0.9178201620692914,155.1756317615509,155.2,562,63,3,40,3,3,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
42,balance-scale,CBM_KE,5,OK,0.9516129032258065,0.9878962034134449,0.8571428571428571,0.9655172413793104,0.8913381939697729,0.919584695374887,144.99700045585632,145.0,563,62,3,40,3,3,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
42,balance-scale,CBM_KE,6,OK,0.9516129032258065,0.9292452811295556,0.9659003831417624,0.8547619047619047,0.8934730895034195,0.9148943453500895,156.14448499679565,156.2,563,62,3,40,2,3,0.0,0.4880378851570015,0.42773123153428505,1.1809091556421523
42,balance-scale,CBM_KE,7,OK,0.9193548387096774,1.0,0.6147683733890631,0.6666666666666666,0.6393133371062064,0.8613019518202981,164.72249817848206,164.7,563,62,3,40,3,3,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
42,balance-scale,CBM_KE,8,OK,0.967741935483871,0.996141088014153,0.9222222222222222,0.9214285714285714,0.921623009758603,0.9438872542021794,150.3605375289917,150.4,563,62,3,40,2,3,0.0,0.35233590128157555,0.7237817832685609,4.224805119172245
42,balance-scale,CBM_KE,9,OK,0.9838709677419355,0.9969641973271738,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9725376779825632,154.5235698223114,154.5,563,62,3,40,3,3,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
42,balance-scale,CBM,0,OK,0.9365079365079365,0.9897903989181879,0.8456486042692939,0.8988505747126437,0.8654898741105638,0.8926169696243248,202.90518403053284,202.9,562,63,3,40,4,9,0.0,0.24459509221343972,,
42,balance-scale,CBM,2,OK,0.9682539682539683,0.9983096686950642,0.978494623655914,0.9770114942528735,0.9769841269841271,0.9459713691496058,186.70881628990173,186.7,562,63,3,40,4,14,0.0,2.3547101897556777,,
42,balance-scale,CBM,6,OK,0.967741935483871,0.9622229593591823,0.9773946360153257,0.8666666666666667,0.9051689959361681,0.9438201227145492,211.5094199180603,211.5,563,62,3,40,4,9,0.0,0.24459509221343972,,
42,balance-scale,CBM,8,OK,0.9838709677419355,1.0,0.9888888888888889,0.9333333333333332,0.9573132454488387,0.9719410039857248,191.92803311347961,191.9,563,62,3,40,4,14,0.0,2.3547101897556777,,
42,bank,CBM_KE,1,OK,0.915,0.9179829545454546,0.8164814563573799,0.7429924242424243,0.7729209577926848,0.5546263474017538,1673.499047279358,1673.5,9000,1000,2,40,7,18,0.0,3.3544108056790845,0.2286080313865352,1.769156075234683
42,bank,CBM_KE,9,OK,0.892,0.8575578935492061,0.7978126664786438,0.5893530401752555,0.6200982116475073,0.326254300523786,2146.719784975052,2146.7,9000,1000,2,40,11,12,0.0,2.6375275054408704,0.2755239988953131,1.1016765069763808
42,bank,CBM,0,OK,0.888,0.8903598484848485,0.7332684736865922,0.6952651515151516,0.7116939012963478,0.42684518907032587,2886.9471192359924,2887.0,9000,1000,2,40,6,18,0.0,1.5559991026497118,,
42,bank,CBM,1,OK,0.876,0.790681818181818,0.71875,0.7784090909090909,0.7425249169435216,0.49356656546554545,2740.5021023750305,2740.5,9000,1000,2,40,12,16,0.0,2.2801934697849626,,
42,bank,CBM,3,OK,0.865,0.8773674242424242,0.7035353076444563,0.7757575757575758,0.7300815153823546,0.4738202318057245,2550.6323442459106,2550.6,9000,1000,2,40,12,16,0.0,2.2801934697849626,,
42,bank,CBM,4,OK,0.884,0.7515207927866943,0.7305375212025502,0.7594091708271045,0.7435897435897436,0.4890952758704158,2647.3551704883575,2647.4,9000,1000,2,40,10,12,0.0,4.318700358296389,,
42,bank,CBM,5,OK,0.885,0.8764279468592221,0.7277974758347052,0.7029635479837155,0.714265127176865,0.43004457404853497,3284.6698615550995,3284.7,9000,1000,2,40,6,18,0.0,1.5559991026497118,,
42,bank,CBM,6,OK,0.892,0.8846359969537133,0.7461464800914341,0.7247623614362677,0.7347089167280767,0.47042306118886656,2914.552981376648,2914.6,9000,1000,2,40,6,18,0.0,1.5559991026497118,,
42,bank,CBM,7,OK,0.889,0.7873804755591911,0.7383947849194485,0.715929070412471,0.726303694406979,0.45376806542037523,3677.0900943279266,3677.1,9000,1000,2,40,7,7,0.0,3.3179770147527696,,
42,bank,CBM,9,OK,0.881,0.8376442050038079,0.7217961582568808,0.7327588638479113,0.7270635941825555,0.4544228066534649,2835.1553978919983,2835.2,9000,1000,2,40,6,18,0.0,1.5559991026497118,,
42,blood,CBM_KE,1,OK,0.8,0.6676413255360624,0.7424242424242424,0.6403508771929824,0.6612466124661247,0.36891438072857313,178.40431666374207,178.4,673,75,2,40,4,5,0.0,3.3770709596590986,0.7097514440283017,1.9505501759695987
42,blood,CBM_KE,2,OK,0.72,0.6106237816764132,0.6000000000000001,0.587719298245614,0.592074592074592,0.18731716231633877,188.12035870552063,188.1,673,75,2,40,4,11,0.0,2.6375275054408704,0.2755239988953131,1.1016765069763808
42,blood,CBM_KE,5,OK,0.76,0.7236842105263158,0.65,0.5950292397660819,0.6048009367681498,0.23878346647045964,179.03890252113342,179.1,673,75,2,40,4,11,0.0,2.6375275054408704,0.2755239988953131,1.1016765069763808
42,blood,CBM_KE,7,OK,0.8533333333333334,0.7417153996101364,0.8686868686868687,0.7134502923976608,0.7515808491418248,0.5610572873580383,179.0370819568634,179.0,673,75,2,40,4,11,0.0,2.6375275054408704,0.2755239988953131,1.1016765069763808
42,blood,CBM_KE,8,OK,0.7702702702702703,0.7750257997936016,0.65625,0.6031991744066048,0.6149372513008877,0.25396748611609316,176.44167137145996,176.5,674,74,2,40,4,13,0.0,0.41017688150275794,0.25694414644932984,3.824968908625985
42,blood,CBM,3,OK,0.8,0.6978557504873295,0.7615546218487395,0.6213450292397661,0.64,0.35630522441317786,196.78127312660217,196.8,673,75,2,40,3,7,0.0,2.6333232444191257,,
42,blood,CBM,9,OK,0.8243243243243243,0.8761609907120743,0.7521551724137931,0.7414860681114551,0.7465085638998683,0.49352593099116054,189.86262106895447,189.9,674,74,2,40,4,10,0.0,1.4642748270952106,,
42,car,CBM_KE,3,OK,0.9942196531791907,1.0,0.99375,0.9979338842975207,0.9957980986396344,0.9875198273466141,554.7146456241608,554.7,1555,173,4,40,8,6,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
42,car,CBM_KE,7,OK,0.9826589595375722,0.9981838631446633,0.9559294871794872,0.9892888212266203,0.9715097402597402,0.9630774855432847,550.2402029037476,550.3,1555,173,4,40,8,6,0.0,1.557838157408185,0.5081067456177208,3.7369321060486276
