Dataset,mode,sub_seed,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
bank,nonstrat,101,CBM_KE,0,OK,0.9095,0.9317015750650478,0.7994142820875494,0.7336979470134625,0.7607514782848921,0.5290463232283918,2580.7
bank,nonstrat,101,CBM_KE,1,OK,0.906,0.9245775726023132,0.7810244616563984,0.7585647258084681,0.7690985015966594,0.5391215553978862,1979.3
bank,nonstrat,101,CBM_KE,2,OK,0.9085,0.9222705280961694,0.7900093082659567,0.7528242423670559,0.769549128536807,0.5415584313506142,2214.1
bank,nonstrat,101,CBM_KE,3,OK,0.901,0.9237826094135909,0.7655434942024513,0.7861596201161071,0.7752533507682249,0.5513177864907939,2150.3
bank,nonstrat,101,CBM_KE,4,OK,0.8975,0.9149813997485369,0.7600661057692308,0.7286663254065046,0.7428498136288344,0.48772271125724437,1823.7
bank,nonstrat,101,CatBoost,0,OK,0.914,0.939238392240027,0.8110821724267102,0.748789273422517,0.7749892727443983,0.5563952108087897,0.6
bank,nonstrat,101,CatBoost,1,OK,0.906,0.9374479558594919,0.7922202078916993,0.7155942526756291,0.7456462209522572,0.5019999893909477,0.6
bank,nonstrat,101,CatBoost,2,OK,0.9025,0.9362566905470149,0.7778083700440528,0.7189757949042153,0.7433155080213903,0.4932881862012949,0.6
bank,nonstrat,101,CatBoost,3,OK,0.903,0.934194975927005,0.78206795308649,0.7103078654176859,0.7386508456127021,0.4871185035136962,0.6
bank,nonstrat,101,CatBoost,4,OK,0.9065,0.9268704634611801,0.7897792568473472,0.7284115597555194,0.7538461538461538,0.5145441945695155,0.6
bank,nonstrat,101,TabPFN,0,OK,0.9235,0.9495375295752254,0.8339191022320878,0.7810466150373067,0.8042575893362605,0.6126886105637173,10.1
bank,nonstrat,101,TabPFN,1,OK,0.904,0.9459425031668788,0.7794595020707169,0.7341520431969315,0.7538707667694768,0.5116092782608832,7.2
bank,nonstrat,101,TabPFN,2,OK,0.9115,0.9431117737114874,0.7981269820653527,0.7599010660055341,0.7771048948142887,0.556717236822421,7.6
bank,nonstrat,101,TabPFN,3,OK,0.9105,0.9418190739268586,0.7969444444444445,0.7521708156511031,0.7719046408485657,0.547286845296392,8.9
bank,nonstrat,101,TabPFN,4,OK,0.9055,0.9362236653700353,0.780196395947517,0.7546996006312527,0.7665443185965979,0.5342879753322132,8.9
bank,nonstrat,102,CBM_KE,0,OK,0.914,0.9263048988158884,0.7946786856644373,0.750831650231674,0.7702494396490693,0.5437453117528888,2208.3
bank,nonstrat,102,CBM_KE,1,OK,0.896,0.9143895291275593,0.742689229023545,0.694814066769633,0.714905247114101,0.43487596239508847,2071.0
bank,nonstrat,102,CBM_KE,2,OK,0.9015,0.9041224581380267,0.7655644793802688,0.6839337802884414,0.7142523528852898,0.44202388443496893,2193.2
bank,nonstrat,102,CBM_KE,3,OK,0.8945,0.8957093789066448,0.740488384854582,0.6685747326529555,0.6953752623057206,0.40269226554778653,2361.9
bank,nonstrat,102,CBM_KE,4,OK,0.899,0.9020463113874924,0.7539351385571638,0.6958297066518065,0.7194444444444444,0.44599571160375623,1888.8
bank,nonstrat,102,CatBoost,0,OK,0.9115,0.9314952873153539,0.8000941980451219,0.7073828759257059,0.7420500029511228,0.49893646024004196,0.6
bank,nonstrat,102,CatBoost,1,OK,0.906,0.9238817274563383,0.7761624469524773,0.7081006692804246,0.7353536547941812,0.4794563172633364,0.6
bank,nonstrat,102,CatBoost,2,OK,0.9065,0.9219817585110921,0.7896522342842717,0.6810538047485076,0.7181134706336794,0.45800715745967774,0.6
bank,nonstrat,102,CatBoost,3,OK,0.9015,0.9153563353297547,0.7617742099638696,0.7029445777309836,0.7269953762440245,0.4609800711613436,0.6
bank,nonstrat,102,CatBoost,4,OK,0.911,0.9293444357047927,0.7981117230527144,0.7102098584916128,0.7436163348082596,0.5006636520363824,0.6
bank,nonstrat,102,TabPFN,0,OK,0.9105,0.9436507465050887,0.7933666758905298,0.71255098807968,0.7439621922271785,0.4994211722792031,7.7
bank,nonstrat,102,TabPFN,1,OK,0.9195,0.9426161340144945,0.811015282854046,0.7634895647697121,0.7844872301990949,0.572535698506011,8.2
bank,nonstrat,102,TabPFN,2,OK,0.9085,0.9392147628335211,0.7890107903665388,0.7049960671566899,0.7370264590181602,0.4868103342822007,8.3
bank,nonstrat,102,TabPFN,3,OK,0.9005,0.9242009177456301,0.7562677672363598,0.7213907224349602,0.7369588076170913,0.47638348470639463,9.8
bank,nonstrat,102,TabPFN,4,OK,0.9165,0.9363175271662075,0.8050541084083509,0.7513370434388091,0.7745423175294699,0.5537920104018001,9.0
bank,nonstrat,103,CBM_KE,0,OK,0.903,0.9217991396331519,0.7953392094017093,0.6687539942197083,0.7082803275681105,0.44649600775921516,2457.4
bank,nonstrat,103,CBM_KE,1,OK,0.883,0.8914120699358064,0.7195543758043759,0.7082812693749464,0.7136837159448804,0.42768710099491847,1954.8
bank,nonstrat,103,CBM_KE,2,OK,0.904,0.9295324259102051,0.7746100810685024,0.7420044067570275,0.7567871583619614,0.5155845217167875,2258.6
bank,nonstrat,103,CBM_KE,3,OK,0.8935,0.9209559041909907,0.7471428571428571,0.7569028152984587,0.7518753505634351,0.5039511713684364,2430.4
