Algorithm,Metric,N_datasets,p_raw,p_holm,significant_at_0.05
CBM_KE,AUC_ROC,20,0.01068878173828125,0.7375259399414062,False
CBM_KE,Accuracy,20,0.0029929173381608707,0.2334475523765479,False
CBM_KE,Precision,20,0.01531219482421875,1.0,False
CBM_KE,Recall,20,0.9272785186767578,1.0,False
CBM_KE,F1_macro,20,0.4523754119873047,1.0,False
CBM_KE,MCC,20,0.013616561889648438,0.9123096466064453,False
CatBoost,AUC_ROC,20,0.0023250579833984375,0.18367958068847656,False
CatBoost,Accuracy,20,0.021484375,1.0,False
CatBoost,Precision,20,0.026641845703125,1.0,False
CatBoost,Recall,20,0.40909767150878906,1.0,False
CatBoost,F1_macro,20,0.04405403137207031,1.0,False
CatBoost,MCC,20,0.021484375,1.0,False
DT_depth3,AUC_ROC,20,0.005580902099609375,0.4241485595703125,False
DT_depth3,Accuracy,20,6.29425048828125e-05,0.00528717041015625,True
DT_depth3,Precision,20,0.001209259033203125,0.09674072265625,False
DT_depth3,Recall,20,0.01068878173828125,0.7375259399414062,False
DT_depth3,F1_macro,20,0.0005855560302734375,0.04743003845214844,True
DT_depth3,MCC,20,0.0031528472900390625,0.2427692413330078,False
DT_depth5,AUC_ROC,20,0.03276824951171875,1.0,False
DT_depth5,Accuracy,20,0.0002613067626953125,0.021427154541015625,True
DT_depth5,Precision,20,0.0072956085205078125,0.5325794219970703,False
DT_depth5,Recall,20,0.03276824951171875,1.0,False
DT_depth5,F1_macro,20,0.006389617919921875,0.47283172607421875,False
DT_depth5,MCC,20,0.005580902099609375,0.4241485595703125,False
EBM,AUC_ROC,20,0.000209808349609375,0.017414093017578125,True
EBM,Accuracy,20,0.017181396484375,1.0,False
EBM,Precision,20,0.0072956085205078125,0.5325794219970703,False
EBM,Recall,20,0.4523754119873047,1.0,False
EBM,F1_macro,20,0.05316925048828125,1.0,False
EBM,MCC,20,0.026641845703125,1.0,False
FIGS,AUC_ROC,20,0.0758514404296875,1.0,False
FIGS,Accuracy,20,0.04844093322753906,1.0,False
FIGS,Precision,20,0.069580078125,1.0,False
FIGS,Recall,20,0.01531219482421875,1.0,False
FIGS,F1_macro,20,0.023950576782226562,1.0,False
FIGS,MCC,20,0.039989471435546875,1.0,False
KNN_k5,AUC_ROC,20,0.058258056640625,1.0,False
KNN_k5,Accuracy,20,0.20244979858398438,1.0,False
KNN_k5,Precision,20,0.24548721313476562,1.0,False
KNN_k5,Recall,20,0.03623390197753906,1.0,False
KNN_k5,F1_macro,20,0.0758514404296875,1.0,False
KNN_k5,MCC,20,0.082550048828125,1.0,False
LightGBM,AUC_ROC,20,0.017181396484375,1.0,False
LightGBM,Accuracy,20,0.026641845703125,1.0,False
LightGBM,Precision,20,0.03276824951171875,1.0,False
LightGBM,Recall,20,0.2942523956298828,1.0,False
LightGBM,F1_macro,20,0.04844093322753906,1.0,False
LightGBM,MCC,20,0.10539817810058594,1.0,False
LogReg,AUC_ROC,20,0.8694877624511719,1.0,False
LogReg,Accuracy,20,0.00830841064453125,0.5815887451171875,False
LogReg,Precision,20,0.082550048828125,1.0,False
LogReg,Recall,20,0.6742229461669922,1.0,False
LogReg,F1_macro,20,0.20244979858398438,1.0,False
LogReg,MCC,20,0.3117942810058594,1.0,False
MLP,AUC_ROC,20,0.082550048828125,1.0,False
MLP,Accuracy,20,0.7841262817382812,1.0,False
MLP,Precision,20,0.956329345703125,1.0,False
MLP,Recall,20,0.01531219482421875,1.0,False
MLP,F1_macro,20,0.05316925048828125,1.0,False
MLP,MCC,20,0.10539817810058594,1.0,False
RandomForest,AUC_ROC,20,0.0072956085205078125,0.5325794219970703,False
RandomForest,Accuracy,20,0.2942523956298828,1.0,False
RandomForest,Precision,20,0.34881019592285156,1.0,False
RandomForest,Recall,20,0.08969497680664062,1.0,False
RandomForest,F1_macro,20,0.082550048828125,1.0,False
RandomForest,MCC,20,0.20244979858398438,1.0,False
RuleFit,AUC_ROC,20,0.9854354858398438,1.0,False
RuleFit,Accuracy,20,0.1230926513671875,1.0,False
RuleFit,Precision,20,0.2942523956298828,1.0,False
RuleFit,Recall,20,0.01531219482421875,1.0,False
RuleFit,F1_macro,20,0.01923370361328125,1.0,False
RuleFit,MCC,20,0.023950576782226562,1.0,False
SVM_RBF,AUC_ROC,20,0.3117942810058594,1.0,False
SVM_RBF,Accuracy,20,0.11398696899414062,1.0,False
SVM_RBF,Precision,20,0.24548721313476562,1.0,False
SVM_RBF,Recall,20,0.7561664581298828,1.0,False
SVM_RBF,F1_macro,20,0.40909767150878906,1.0,False
SVM_RBF,MCC,20,0.38837623596191406,1.0,False
TabPFN,AUC_ROC,20,1.9073486328125e-06,0.000171661376953125,True
TabPFN,Accuracy,20,3.814697265625e-06,0.000339508056640625,True
TabPFN,Precision,20,3.814697265625e-06,0.000339508056640625,True
TabPFN,Recall,20,4.76837158203125e-05,0.0040531158447265625,True
TabPFN,F1_macro,20,3.814697265625e-06,0.000339508056640625,True
TabPFN,MCC,20,3.814697265625e-06,0.000339508056640625,True
XGBoost,AUC_ROC,20,0.029575347900390625,1.0,False
XGBoost,Accuracy,20,0.14290618896484375,1.0,False
XGBoost,Precision,20,0.2773551940917969,1.0,False
XGBoost,Recall,20,0.8123550415039062,1.0,False
XGBoost,F1_macro,20,0.26109886169433594,1.0,False
XGBoost,MCC,20,0.36827659606933594,1.0,False
