seed,dataset,algorithm,fold
43,magic,CBM_KE,6
43,magic,CBM_KE,5
43,magic,CBM_KE,8
43,magic,CBM_KE,4
43,magic,CBM_KE,2
43,bank,CBM_KE,6
43,bank,CBM_KE,8
43,pendigits,CBM_KE,8
43,pendigits,CBM_KE,3
44,pendigits,CBM_KE,6
44,bank,CBM_KE,2
44,bank,CBM_KE,3
43,pendigits,CBM_KE,1
44,magic,CBM_KE,7
43,pendigits,CBM_KE,7
43,bank,CBM_KE,0
43,magic,CBM_KE,3
44,pendigits,CBM_KE,4
43,magic,CBM_KE,1
44,magic,CBM_KE,1
43,magic,CBM_KE,0
44,pendigits,CBM_KE,5
44,magic,CBM_KE,9
44,magic,CBM_KE,4
44,bank,CBM_KE,0
44,magic,CBM_KE,8
44,pendigits,CBM_KE,7
43,bank,CBM_KE,9
43,bank,CBM_KE,4
43,bank,CBM_KE,1
43,bank,CBM_KE,2
44,magic,CBM_KE,3
44,pendigits,CBM_KE,2
42,magic,CBM_KE,6
43,pendigits,CBM_KE,2
43,magic,CBM_KE,7
43,bank,CBM_KE,3
43,magic,CBM_KE,9
43,pendigits,CBM_KE,4
43,bank,CBM_KE,5
43,pendigits,CBM_KE,9
44,magic,CBM_KE,6
42,magic,CBM_KE,3
44,magic,CBM_KE,5
44,magic,CBM_KE,0
43,pendigits,CBM_KE,5
44,pendigits,CBM_KE,1
44,magic,CBM_KE,2
43,bank,CBM_KE,7
43,pendigits,CBM_KE,0
44,pendigits,CBM_KE,3
44,bank,CBM_KE,5
44,pendigits,CBM_KE,9
42,pendigits,CBM_KE,6
42,magic,CBM_KE,7
44,pendigits,CBM_KE,8
44,pendigits,CBM_KE,0
44,bank,CBM_KE,4
44,bank,CBM_KE,8
42,magic,CBM_KE,5
43,pendigits,CBM_KE,6
42,magic,CBM_KE,0
42,pendigits,CBM_KE,1
42,magic,CBM_KE,1
42,magic,CBM_KE,4
44,bank,CBM_KE,1
42,bank,CBM_KE,3
44,bank,CBM_KE,9
42,magic,CBM_KE,9
42,pendigits,CBM_KE,2
44,bank,CBM_KE,6
42,bank,CBM_KE,5
42,magic,CBM_KE,2
44,bank,CBM_KE,7
42,pendigits,CBM_KE,7
42,bank,CBM_KE,7
42,magic,CBM_KE,8
42,pendigits,CBM_KE,0
42,pendigits,CBM_KE,4
42,pendigits,CBM_KE,9
43,satimage,CBM_KE,0
43,satimage,CBM_KE,4
