seed,dataset,algorithm,fold
42,magic,CBM_KE,6
42,magic,CBM_KE,3
42,pendigits,CBM_KE,6
42,magic,CBM_KE,7
42,magic,CBM_KE,5
42,magic,CBM_KE,0
42,pendigits,CBM_KE,1
42,magic,CBM_KE,1
42,magic,CBM_KE,4
42,bank,CBM_KE,3
42,magic,CBM_KE,9
42,pendigits,CBM_KE,2
42,bank,CBM_KE,5
42,magic,CBM_KE,2
42,pendigits,CBM_KE,7
42,bank,CBM_KE,7
42,magic,CBM_KE,8
42,pendigits,CBM_KE,0
42,pendigits,CBM_KE,4
42,pendigits,CBM_KE,9
42,bank,CBM_KE,4
42,bank,CBM_KE,9
42,pendigits,CBM_KE,5
42,pendigits,CBM_KE,3
42,bank,CBM_KE,2
42,pendigits,CBM_KE,8
42,bank,CBM_KE,8
42,bank,CBM_KE,1
42,bank,CBM_KE,6
42,satimage,CBM_KE,4
42,phoneme,CBM_KE,9
42,satimage,CBM_KE,9
42,phoneme,CBM_KE,4
42,phoneme,CBM_KE,8
42,satimage,CBM_KE,3
42,phoneme,CBM_KE,7
42,satimage,CBM_KE,0
42,wine-quality,CBM_KE,9
42,satimage,CBM_KE,7
42,page-blocks,CBM_KE,3
42,phoneme,CBM_KE,6
42,page-blocks,CBM_KE,9
42,satimage,CBM_KE,6
42,page-blocks,CBM_KE,7
42,page-blocks,CBM_KE,0
42,satimage,CBM_KE,1
42,satimage,CBM_KE,2
42,satimage,CBM_KE,8
42,wine-quality,CBM_KE,8
42,satimage,CBM_KE,5
42,spambase,CBM_KE,1
42,optdigits,CBM_KE,2
42,wine-quality,CBM_KE,4
42,wine-quality,CBM_KE,3
42,spambase,CBM_KE,6
42,wine-quality,CBM_KE,1
42,page-blocks,CBM_KE,1
42,page-blocks,CBM_KE,6
42,wine-quality,CBM_KE,2
42,wine-quality,CBM_KE,0
42,page-blocks,CBM_KE,5
42,page-blocks,CBM_KE,2
42,optdigits,CBM_KE,7
42,page-blocks,CBM_KE,4
42,phoneme,CBM_KE,2
42,optdigits,CBM_KE,1
42,optdigits,CBM_KE,4
42,phoneme,CBM_KE,5
42,page-blocks,CBM_KE,8
42,phoneme,CBM_KE,1
42,phoneme,CBM_KE,0
42,phoneme,CBM_KE,3
42,spambase,CBM_KE,7
42,optdigits,CBM_KE,6
42,optdigits,CBM_KE,9
42,spambase,CBM_KE,2
42,spambase,CBM_KE,8
42,spambase,CBM_KE,9
42,optdigits,CBM_KE,0
42,wine-quality,CBM_KE,7
42,optdigits,CBM_KE,5
42,wine-quality,CBM_KE,5
42,optdigits,CBM_KE,8
42,optdigits,CBM_KE,3
42,spambase,CBM_KE,0
42,wine-quality,CBM_KE,6
42,spambase,CBM_KE,5
42,spambase,CBM_KE,3
42,spambase,CBM_KE,4
42,bank,CBM_KE,0
42,kr-vs-kp,CBM_KE,8
42,kr-vs-kp,CBM_KE,6
42,kr-vs-kp,CBM_KE,5
42,kr-vs-kp,CBM_KE,4
42,kr-vs-kp,CBM_KE,9
42,kr-vs-kp,CBM_KE,3
42,kr-vs-kp,CBM_KE,0
42,kr-vs-kp,CBM_KE,1
42,kr-vs-kp,CBM_KE,2
42,kr-vs-kp,CBM_KE,7
42,segment,CBM_KE,5
