seed,dataset,algorithm,fold
42,pendigits,CBM,2
43,magic,CBM_KE,6
42,magic,CBM,1
42,magic,CBM,3
42,bank,CBM,7
42,bank,CBM,5
42,magic,CBM,0
42,magic,CBM,4
42,magic,CBM,2
42,magic,CBM,9
43,magic,CBM_KE,5
42,pendigits,CBM,1
43,bank,CBM,3
43,magic,CBM,0
43,magic,CBM_KE,8
42,pendigits,CBM,7
42,magic,CBM,5
42,magic,CBM,8
42,pendigits,CBM,3
42,pendigits,CBM,6
44,magic,CBM,9
43,magic,CBM,5
42,bank,CBM,6
43,magic,CBM_KE,4
42,magic,CBM,6
43,magic,CBM_KE,2
42,magic,CBM,7
44,magic,CBM,4
43,bank,CBM_KE,6
42,pendigits,CBM,8
42,pendigits,CBM,4
44,bank,CBM,5
42,pendigits,CBM,5
43,bank,CBM_KE,8
43,bank,CBM,6
43,magic,CBM,1
42,bank,CBM,1
43,pendigits,CBM_KE,8
43,pendigits,CBM_KE,3
43,magic,CBM,3
44,pendigits,CBM_KE,6
44,bank,CBM_KE,2
44,bank,CBM_KE,3
42,bank,CBM,3
42,bank,CBM,4
42,pendigits,CBM,9
44,magic,CBM_KE,7
43,bank,CBM,1
43,pendigits,CBM_KE,7
42,bank,CBM,9
44,bank,CBM,9
44,magic,CBM,1
43,magic,CBM_KE,3
44,bank,CBM,6
43,bank,CBM,7
44,pendigits,CBM_KE,4
44,bank,CBM,3
43,magic,CBM_KE,1
43,bank,CBM,4
43,magic,CBM,8
44,bank,CBM,4
44,magic,CBM,2
43,pendigits,CBM,9
44,bank,CBM,0
44,pendigits,CBM_KE,5
44,magic,CBM_KE,4
44,bank,CBM_KE,0
44,magic,CBM_KE,8
43,bank,CBM,0
44,pendigits,CBM_KE,7
43,bank,CBM_KE,9
44,magic,CBM,0
43,bank,CBM_KE,4
43,bank,CBM_KE,1
43,bank,CBM,8
43,bank,CBM_KE,2
44,magic,CBM_KE,3
44,pendigits,CBM_KE,2
43,pendigits,CBM_KE,2
43,bank,CBM,5
44,magic,CBM,8
44,bank,CBM,1
43,magic,CBM_KE,7
43,magic,CBM_KE,9
44,pendigits,CBM,7
43,magic,CBM,9
44,magic,CBM,7
43,bank,CBM_KE,5
43,pendigits,CBM_KE,9
44,magic,CBM_KE,6
42,magic,CBM_KE,3
44,magic,CBM_KE,5
44,magic,CBM_KE,0
43,pendigits,CBM_KE,5
44,pendigits,CBM,5
43,magic,CBM,4
44,pendigits,CBM,4
44,pendigits,CBM_KE,1
43,pendigits,CBM,6
44,magic,CBM,5
44,magic,CBM,6
44,pendigits,CBM,8
43,bank,CBM_KE,7
43,pendigits,CBM_KE,0
42,satimage,CBM,6
43,magic,CBM,7
44,pendigits,CBM_KE,3
43,pendigits,CBM,2
44,bank,CBM_KE,5
42,pendigits,CBM_KE,6
43,magic,CBM,2
42,magic,CBM_KE,7
43,bank,CBM,9
44,pendigits,CBM_KE,8
44,pendigits,CBM_KE,0
44,bank,CBM_KE,4
44,bank,CBM_KE,8
43,pendigits,CBM,0
42,magic,CBM_KE,5
43,pendigits,CBM_KE,6
44,pendigits,CBM,1
42,magic,CBM_KE,0
42,magic,CBM_KE,1
43,pendigits,CBM,8
42,satimage,CBM,1
42,magic,CBM_KE,4
44,bank,CBM_KE,1
44,pendigits,CBM,6
42,satimage,CBM,0
42,satimage,CBM,9
42,satimage,CBM,3
43,pendigits,CBM,7
42,satimage,CBM,7
43,pendigits,CBM,3
42,magic,CBM_KE,9
44,pendigits,CBM,0
42,satimage,CBM,5
44,bank,CBM_KE,6
42,magic,CBM_KE,2
42,satimage,CBM,8
44,bank,CBM_KE,7
42,pendigits,CBM_KE,9
43,satimage,CBM_KE,0
42,satimage,CBM,4
43,satimage,CBM_KE,4
43,pendigits,CBM,4
42,bank,CBM_KE,9
42,pendigits,CBM_KE,5
42,pendigits,CBM_KE,3
42,optdigits,CBM,1
42,phoneme,CBM,4
42,pendigits,CBM_KE,8
42,optdigits,CBM,8
43,optdigits,CBM_KE,5
43,satimage,CBM_KE,2
43,satimage,CBM,2
42,optdigits,CBM,6
42,bank,CBM_KE,1
42,phoneme,CBM,7
43,satimage,CBM,0
43,page-blocks,CBM_KE,6
42,optdigits,CBM,3
42,optdigits,CBM,2
43,satimage,CBM_KE,7
44,satimage,CBM_KE,3
42,optdigits,CBM,5
44,satimage,CBM,2
42,phoneme,CBM,3
43,optdigits,CBM_KE,6
44,satimage,CBM,4
43,phoneme,CBM_KE,8
44,satimage,CBM,5
42,optdigits,CBM,4
44,page-blocks,CBM_KE,4
44,optdigits,CBM_KE,2
43,satimage,CBM,1
43,page-blocks,CBM_KE,7
43,optdigits,CBM_KE,7
43,satimage,CBM_KE,5
43,satimage,CBM_KE,1
44,satimage,CBM,0
43,satimage,CBM,8
43,page-blocks,CBM_KE,1
44,optdigits,CBM_KE,7
43,page-blocks,CBM_KE,9
43,page-blocks,CBM_KE,8
42,optdigits,CBM,9
44,satimage,CBM,8
43,page-blocks,CBM_KE,4
43,satimage,CBM,5
43,satimage,CBM,9
43,optdigits,CBM_KE,4
44,satimage,CBM_KE,4
42,optdigits,CBM,0
44,page-blocks,CBM_KE,0
44,optdigits,CBM_KE,6
43,optdigits,CBM_KE,9
44,satimage,CBM_KE,1
43,wine-quality,CBM_KE,9
43,optdigits,CBM_KE,0
43,satimage,CBM,7
43,page-blocks,CBM_KE,2
44,phoneme,CBM_KE,5
44,satimage,CBM_KE,7
43,page-blocks,CBM_KE,5
43,satimage,CBM,6
42,spambase,CBM,0
44,satimage,CBM,9
44,optdigits,CBM_KE,9
44,optdigits,CBM_KE,8
44,optdigits,CBM_KE,4
44,optdigits,CBM_KE,3
44,page-blocks,CBM_KE,8
43,satimage,CBM,3
42,phoneme,CBM_KE,9
44,phoneme,CBM_KE,1
44,spambase,CBM_KE,9
42,spambase,CBM,7
43,optdigits,CBM,2
44,satimage,CBM_KE,5
44,satimage,CBM,3
43,optdigits,CBM_KE,2
42,bank,CBM,0
44,page-blocks,CBM_KE,1
44,satimage,CBM,6
43,spambase,CBM_KE,3
43,optdigits,CBM,6
44,spambase,CBM_KE,2
44,optdigits,CBM,0
44,page-blocks,CBM_KE,6
42,phoneme,CBM_KE,4
44,spambase,CBM,9
44,optdigits,CBM,7
44,optdigits,CBM,9
42,phoneme,CBM_KE,8
42,satimage,CBM_KE,3
43,phoneme,CBM,8
43,spambase,CBM_KE,8
44,phoneme,CBM_KE,3
44,optdigits,CBM,2
44,optdigits,CBM,5
43,spambase,CBM_KE,0
42,phoneme,CBM_KE,7
44,optdigits,CBM,1
