seed,dataset,algorithm,fold
42,pendigits,CBM,2
42,magic,CBM,1
42,magic,CBM,3
42,bank,CBM,7
42,bank,CBM,5
42,magic,CBM,0
42,magic,CBM,4
42,magic,CBM,2
42,magic,CBM,9
42,pendigits,CBM,1
42,pendigits,CBM,7
42,magic,CBM,5
42,magic,CBM,8
42,pendigits,CBM,3
42,pendigits,CBM,6
42,bank,CBM,2
42,bank,CBM,6
42,magic,CBM,6
42,magic,CBM,7
42,pendigits,CBM,8
42,pendigits,CBM,4
42,pendigits,CBM,0
42,pendigits,CBM,5
42,bank,CBM,1
42,bank,CBM,3
42,bank,CBM,4
42,pendigits,CBM,9
42,bank,CBM,8
42,bank,CBM,9
42,magic,CBM_KE,6
42,magic,CBM_KE,3
42,satimage,CBM,6
42,pendigits,CBM_KE,6
42,magic,CBM_KE,7
42,magic,CBM_KE,5
42,magic,CBM_KE,0
42,pendigits,CBM_KE,1
42,magic,CBM_KE,1
42,satimage,CBM,1
42,magic,CBM_KE,4
42,satimage,CBM,0
42,bank,CBM_KE,3
42,satimage,CBM,9
42,satimage,CBM,3
42,satimage,CBM,7
42,magic,CBM_KE,9
42,pendigits,CBM_KE,2
42,satimage,CBM,5
42,bank,CBM_KE,5
42,satimage,CBM,2
42,magic,CBM_KE,2
42,satimage,CBM,8
42,pendigits,CBM_KE,7
42,bank,CBM_KE,7
42,phoneme,CBM,6
42,magic,CBM_KE,8
42,phoneme,CBM,5
42,pendigits,CBM_KE,0
42,pendigits,CBM_KE,4
42,pendigits,CBM_KE,9
42,phoneme,CBM,8
42,satimage,CBM,4
42,bank,CBM_KE,4
42,bank,CBM_KE,9
42,pendigits,CBM_KE,5
42,pendigits,CBM_KE,3
42,optdigits,CBM,1
42,phoneme,CBM,4
42,bank,CBM_KE,2
42,pendigits,CBM_KE,8
42,phoneme,CBM,1
42,optdigits,CBM,8
42,bank,CBM_KE,8
42,phoneme,CBM,0
42,optdigits,CBM,6
42,phoneme,CBM,9
42,bank,CBM_KE,1
42,phoneme,CBM,2
42,phoneme,CBM,7
42,optdigits,CBM,3
42,optdigits,CBM,2
42,optdigits,CBM,5
42,phoneme,CBM,3
42,bank,CBM_KE,6
42,optdigits,CBM,4
42,optdigits,CBM,7
42,optdigits,CBM,9
42,optdigits,CBM,0
42,spambase,CBM,8
42,spambase,CBM,0
42,satimage,CBM_KE,4
42,phoneme,CBM_KE,9
42,spambase,CBM,7
42,satimage,CBM_KE,9
42,spambase,CBM,4
42,bank,CBM,0
42,phoneme,CBM_KE,4
42,spambase,CBM,5
42,phoneme,CBM_KE,8
42,satimage,CBM_KE,3
42,phoneme,CBM_KE,7
42,satimage,CBM_KE,0
42,wine-quality,CBM_KE,9
42,satimage,CBM_KE,7
42,page-blocks,CBM_KE,3
42,phoneme,CBM_KE,6
42,spambase,CBM,1
42,spambase,CBM,3
42,page-blocks,CBM_KE,9
42,satimage,CBM_KE,6
42,page-blocks,CBM_KE,7
42,spambase,CBM,2
42,page-blocks,CBM,4
42,page-blocks,CBM_KE,0
42,page-blocks,CBM,2
42,wine-quality,CBM,5
42,satimage,CBM_KE,1
42,spambase,CBM,6
42,satimage,CBM_KE,2
42,satimage,CBM_KE,8
42,spambase,CBM,9
42,page-blocks,CBM,1
42,wine-quality,CBM_KE,8
42,satimage,CBM_KE,5
42,spambase,CBM_KE,1
42,optdigits,CBM_KE,2
42,wine-quality,CBM_KE,4
