dataset,mode,sub_seed,fold
bank,strat,101,0
bank,strat,101,1
bank,strat,101,2
bank,strat,101,3
bank,strat,101,4
bank,strat,102,0
bank,strat,102,1
bank,strat,102,2
bank,strat,102,3
bank,strat,102,4
bank,strat,103,0
bank,strat,103,1
bank,strat,103,2
bank,strat,103,3
bank,strat,103,4
bank,nonstrat,101,0
bank,nonstrat,101,1
bank,nonstrat,101,2
bank,nonstrat,101,3
bank,nonstrat,101,4
bank,nonstrat,102,0
bank,nonstrat,102,1
bank,nonstrat,102,2
bank,nonstrat,102,3
bank,nonstrat,102,4
bank,nonstrat,103,0
bank,nonstrat,103,1
bank,nonstrat,103,2
bank,nonstrat,103,3
bank,nonstrat,103,4
magic,strat,101,0
magic,strat,101,1
magic,strat,101,2
magic,strat,101,3
magic,strat,101,4
magic,strat,102,0
magic,strat,102,1
magic,strat,102,2
magic,strat,102,3
magic,strat,102,4
magic,strat,103,0
magic,strat,103,1
magic,strat,103,2
magic,strat,103,3
magic,strat,103,4
magic,nonstrat,101,0
magic,nonstrat,101,1
magic,nonstrat,101,2
magic,nonstrat,101,3
magic,nonstrat,101,4
magic,nonstrat,102,0
magic,nonstrat,102,1
magic,nonstrat,102,2
magic,nonstrat,102,3
magic,nonstrat,102,4
magic,nonstrat,103,0
magic,nonstrat,103,1
magic,nonstrat,103,2
magic,nonstrat,103,3
magic,nonstrat,103,4
pendigits,strat,101,0
pendigits,strat,101,1
pendigits,strat,101,2
pendigits,strat,101,3
pendigits,strat,101,4
pendigits,strat,102,0
pendigits,strat,102,1
pendigits,strat,102,2
pendigits,strat,102,3
pendigits,strat,102,4
pendigits,strat,103,0
pendigits,strat,103,1
pendigits,strat,103,2
pendigits,strat,103,3
pendigits,strat,103,4
pendigits,nonstrat,101,0
pendigits,nonstrat,101,1
pendigits,nonstrat,101,2
pendigits,nonstrat,101,3
pendigits,nonstrat,101,4
pendigits,nonstrat,102,0
pendigits,nonstrat,102,1
pendigits,nonstrat,102,2
pendigits,nonstrat,102,3
pendigits,nonstrat,102,4
pendigits,nonstrat,103,0
pendigits,nonstrat,103,1
pendigits,nonstrat,103,2
pendigits,nonstrat,103,3
pendigits,nonstrat,103,4
