seed,dataset,fold
42,diabetes,0
42,diabetes,1
42,diabetes,2
42,diabetes,3
42,diabetes,4
42,diabetes,5
42,diabetes,6
42,diabetes,7
42,diabetes,8
42,diabetes,9
42,credit-g,0
42,credit-g,1
42,credit-g,2
42,credit-g,3
42,credit-g,4
42,credit-g,5
42,credit-g,6
42,credit-g,7
42,credit-g,8
42,credit-g,9
42,blood,0
42,blood,1
42,blood,2
42,blood,3
42,blood,4
42,blood,5
42,blood,6
42,blood,7
42,blood,8
42,blood,9
42,wdbc,0
42,wdbc,1
42,wdbc,2
42,wdbc,3
42,wdbc,4
42,wdbc,5
42,wdbc,6
42,wdbc,7
42,wdbc,8
42,wdbc,9
42,tic-tac-toe,0
42,tic-tac-toe,1
42,tic-tac-toe,2
42,tic-tac-toe,3
42,tic-tac-toe,4
42,tic-tac-toe,5
42,tic-tac-toe,6
42,tic-tac-toe,7
42,tic-tac-toe,8
42,tic-tac-toe,9
42,spambase,0
42,spambase,1
42,spambase,2
42,spambase,3
42,spambase,4
42,spambase,5
42,spambase,6
42,spambase,7
42,spambase,8
42,spambase,9
42,magic,0
42,magic,1
42,magic,2
42,magic,3
42,magic,4
42,magic,5
42,magic,6
42,magic,7
42,magic,8
42,magic,9
42,bank,0
42,bank,1
42,bank,2
42,bank,3
42,bank,4
42,bank,5
42,bank,6
42,bank,7
42,bank,8
42,bank,9
42,phoneme,0
42,phoneme,1
42,phoneme,2
42,phoneme,3
42,phoneme,4
42,phoneme,5
42,phoneme,6
42,phoneme,7
42,phoneme,8
42,phoneme,9
42,kr-vs-kp,0
42,kr-vs-kp,1
42,kr-vs-kp,2
42,kr-vs-kp,3
42,kr-vs-kp,4
42,kr-vs-kp,5
42,kr-vs-kp,6
42,kr-vs-kp,7
42,kr-vs-kp,8
42,kr-vs-kp,9
42,balance-scale,0
42,balance-scale,1
42,balance-scale,2
42,balance-scale,3
42,balance-scale,4
42,balance-scale,5
42,balance-scale,6
42,balance-scale,7
42,balance-scale,8
42,balance-scale,9
42,vehicle,0
42,vehicle,1
42,vehicle,2
42,vehicle,3
42,vehicle,4
42,vehicle,5
42,vehicle,6
42,vehicle,7
42,vehicle,8
42,vehicle,9
42,car,0
42,car,1
42,car,2
42,car,3
42,car,4
42,car,5
42,car,6
42,car,7
42,car,8
42,car,9
42,segment,0
42,segment,1
42,segment,2
42,segment,3
42,segment,4
42,segment,5
42,segment,6
42,segment,7
42,segment,8
42,segment,9
42,satimage,0
42,satimage,1
42,satimage,2
42,satimage,3
42,satimage,4
42,satimage,5
42,satimage,6
42,satimage,7
42,satimage,8
42,satimage,9
42,pendigits,0
42,pendigits,1
42,pendigits,2
42,pendigits,3
42,pendigits,4
42,pendigits,5
42,pendigits,6
42,pendigits,7
42,pendigits,8
42,pendigits,9
42,mfeat-factors,0
42,mfeat-factors,1
42,mfeat-factors,2
42,mfeat-factors,3
42,mfeat-factors,4
42,mfeat-factors,5
42,mfeat-factors,6
42,mfeat-factors,7
42,mfeat-factors,8
42,mfeat-factors,9
42,optdigits,0
42,optdigits,1
42,optdigits,2
42,optdigits,3
42,optdigits,4
42,optdigits,5
42,optdigits,6
42,optdigits,7
42,optdigits,8
42,optdigits,9
42,page-blocks,0
42,page-blocks,1
42,page-blocks,2
42,page-blocks,3
42,page-blocks,4
42,page-blocks,5
42,page-blocks,6
42,page-blocks,7
42,page-blocks,8
42,page-blocks,9
42,wine-quality,0
