seed,dataset,algorithm,fold
44,mfeat-factors,EBM_T,0
43,mfeat-factors,EBM_T,2
43,mfeat-factors,EBM_T,1
43,mfeat-factors,EBM_T,0
42,mfeat-factors,EBM_T,3
43,mfeat-factors,EBM_T,3
42,mfeat-factors,EBM_T,6
43,mfeat-factors,EBM_T,9
43,mfeat-factors,EBM_T,8
42,mfeat-factors,EBM_T,8
42,mfeat-factors,EBM_T,5
42,mfeat-factors,EBM_T,4
43,mfeat-factors,EBM_T,7
42,mfeat-factors,EBM_T,1
44,mfeat-factors,EBM_T,9
44,mfeat-factors,EBM_T,8
42,mfeat-factors,EBM_T,7
44,mfeat-factors,EBM_T,4
42,mfeat-factors,EBM_T,9
44,mfeat-factors,EBM_T,6
43,mfeat-factors,EBM_T,5
44,mfeat-factors,EBM_T,5
44,mfeat-factors,EBM_T,7
43,mfeat-factors,EBM_T,6
44,mfeat-factors,EBM_T,2
42,mfeat-factors,EBM_T,0
44,mfeat-factors,EBM_T,1
44,mfeat-factors,EBM_T,3
43,mfeat-factors,EBM_T,4
42,mfeat-factors,EBM_T,2
44,pendigits,RuleFit_T,1
43,pendigits,RuleFit_T,8
43,pendigits,RuleFit_T,6
44,pendigits,RuleFit_T,3
42,pendigits,RuleFit_T,2
42,pendigits,RuleFit_T,5
42,pendigits,RuleFit_T,4
42,pendigits,RuleFit_T,3
44,pendigits,RuleFit_T,2
44,pendigits,RuleFit_T,9
42,pendigits,RuleFit_T,8
43,pendigits,RuleFit_T,5
43,pendigits,RuleFit_T,4
44,pendigits,RuleFit_T,0
43,pendigits,RuleFit_T,9
43,pendigits,RuleFit_T,7
43,pendigits,RuleFit_T,0
42,pendigits,RuleFit_T,7
44,pendigits,RuleFit_T,7
42,pendigits,RuleFit_T,1
43,pendigits,RuleFit_T,1
44,pendigits,RuleFit_T,8
44,pendigits,RuleFit_T,6
42,pendigits,RuleFit_T,0
44,pendigits,RuleFit_T,5
44,pendigits,RuleFit_T,4
42,pendigits,RuleFit_T,6
42,pendigits,RuleFit_T,9
43,pendigits,RuleFit_T,3
43,pendigits,RuleFit_T,2
42,pendigits,EBM_T,2
42,pendigits,EBM_T,9
44,pendigits,EBM_T,8
44,pendigits,EBM_T,9
43,pendigits,EBM_T,5
42,pendigits,EBM_T,3
44,pendigits,EBM_T,7
42,pendigits,EBM_T,5
42,pendigits,EBM_T,4
44,pendigits,EBM_T,2
43,pendigits,EBM_T,8
44,pendigits,EBM_T,6
42,pendigits,EBM_T,1
43,pendigits,EBM_T,6
44,pendigits,EBM_T,1
43,pendigits,EBM_T,1
43,pendigits,EBM_T,7
44,pendigits,EBM_T,3
44,pendigits,EBM_T,4
44,pendigits,EBM_T,5
42,pendigits,EBM_T,0
43,pendigits,EBM_T,2
43,pendigits,EBM_T,0
43,pendigits,EBM_T,9
44,pendigits,EBM_T,0
43,pendigits,EBM_T,4
42,pendigits,EBM_T,8
42,pendigits,EBM_T,6
43,pendigits,EBM_T,3
42,pendigits,EBM_T,7
44,mfeat-factors,CatBoost_T,9
43,mfeat-factors,CatBoost_T,8
44,mfeat-factors,CatBoost_T,0
44,mfeat-factors,CatBoost_T,1
43,mfeat-factors,CatBoost_T,0
42,mfeat-factors,CatBoost_T,3
43,mfeat-factors,CatBoost_T,3
43,mfeat-factors,CatBoost_T,2
44,mfeat-factors,CatBoost_T,8
42,mfeat-factors,CatBoost_T,6
43,mfeat-factors,CatBoost_T,9
43,mfeat-factors,CatBoost_T,7
43,mfeat-factors,CatBoost_T,6
44,mfeat-factors,CatBoost_T,7
42,mfeat-factors,CatBoost_T,4
44,mfeat-factors,CatBoost_T,5
44,mfeat-factors,CatBoost_T,4
42,mfeat-factors,CatBoost_T,8
42,mfeat-factors,CatBoost_T,9
42,mfeat-factors,CatBoost_T,7
44,mfeat-factors,CatBoost_T,6
42,mfeat-factors,CatBoost_T,5
42,mfeat-factors,CatBoost_T,2
44,mfeat-factors,CatBoost_T,2
44,mfeat-factors,CatBoost_T,3
43,mfeat-factors,CatBoost_T,1
42,mfeat-factors,CatBoost_T,1
42,mfeat-factors,CatBoost_T,0
43,mfeat-factors,CatBoost_T,4
43,mfeat-factors,CatBoost_T,5
43,mfeat-factors,RuleFit_T,6
43,mfeat-factors,RuleFit_T,4
42,mfeat-factors,RuleFit_T,6
43,mfeat-factors,RuleFit_T,9
43,mfeat-factors,RuleFit_T,3
43,mfeat-factors,RuleFit_T,5
44,mfeat-factors,RuleFit_T,2
44,mfeat-factors,RuleFit_T,3
44,mfeat-factors,RuleFit_T,1
44,mfeat-factors,RuleFit_T,6
44,mfeat-factors,RuleFit_T,4
42,mfeat-factors,RuleFit_T,3
44,mfeat-factors,RuleFit_T,5
42,mfeat-factors,RuleFit_T,9
43,mfeat-factors,RuleFit_T,8
42,mfeat-factors,RuleFit_T,7
43,mfeat-factors,RuleFit_T,7
44,mfeat-factors,RuleFit_T,8
42,mfeat-factors,RuleFit_T,2
42,mfeat-factors,RuleFit_T,4
44,mfeat-factors,RuleFit_T,7
42,mfeat-factors,RuleFit_T,0
43,mfeat-factors,RuleFit_T,0
42,mfeat-factors,RuleFit_T,5
42,mfeat-factors,RuleFit_T,1
44,mfeat-factors,RuleFit_T,9
42,mfeat-factors,RuleFit_T,8
44,mfeat-factors,RuleFit_T,0
43,mfeat-factors,RuleFit_T,1
43,mfeat-factors,RuleFit_T,2
42,page-blocks,RuleFit_T,9
